,Product,Brand,Price,Size,Price per Unit
1,"10"" Egg Wraps (Cage Free Cauliflower)",Crepini,$8.99,9.8 oz,$0.92/oz
3,"10"" White Cake (Filled with Vanilla Cheesecake Mousse)",Kirkland Signature,$12.99,1 ea,$12.99/ea
5,100 % Orange Juice (Bottles),Apple & Eve,$12.69,(24 Pack) 10 oz,$0.05/oz
7,100% Colombian Coffee,Kirkland Signature,$15.99,48 oz,$0.33/oz
8,100% Juice (Variety Pack),Capri Sun,$9.49,(40 Pack) 6 oz,$0.04/oz
10,100% Whole Wheat Bread (Country 100% Whole Wheat),Freihofer's,$5.79,(2 Pack) 24 oz,$0.12/oz
11,15 Grain Bread,Pepperidge Farm,$5.69,(2 Pack) 24 oz,$0.12/oz
13,3 Cheese Mini Ravioli (Organic) [Organic],Rana,$10.59,(2 Pack) 17 oz,$0.31/oz
15,4505 Chicharrones (Classic Pork Rinds),4505 Chicharrones,$6.79,7 oz,$0.97/oz
17,85% Lean Ground Beef (Organic 85% Lean Grass Fed) [Organic],Kirkland Signature,$22.99,(4 Pack) 1 lb,$5.75/lb
19,A.1. Steak Sauce (Original),A.1.,$9.99,(2 Pack) 20 oz,$0.25/oz
21,ABF Turkey Breast ((sold per lb.)),Kirkland Signature,$3.99,1 lb,$3.99/lb
23,"Absorbent Pads (23"" x 30"")",Kirkland Signature,$18.99,100 ct,$0.19/ct
25,Acai Superfruit Packs,Organic Sambazon,$13.49,(12 Pack) 3.5 oz,$0.32/oz
27,Activa (Variety Pack),Dannon,$8.99,(24 Pack) 4 oz,$0.09/oz
31,All Purpose Flour,King Arthur,$18.79,25 lb,$0.75/lb
33,Almond Butter (Creamy),Kirkland,$6.99,27 oz,$0.26/oz
35,Almond Flour (Superfine),Kirkland Signature,$11.79,3 lb,$3.93/lb
37,Almond Flour Crackers (2/8.5 oz. bags),Simple Mills,$10.89,17 oz,$0.64/oz
39,"Almond Flour Tortillas [Gluten Free,Vegan]",Siete,$11.89,20 ct,$0.59/ct
41,Almond Milk (Organic Unsweetened Vanilla),Kirkland Signature,$7.99,(6 Pack) 1 qt,$1.33/qt
42,Almond Milk (Organic Unsweetened),Silk,$8.99,(3 Pack) 64 oz,$0.05/oz
43,Almond Milk (Original),Kirkland Signature,$11.99,(12 Pack) 32 oz,$0.03/oz
45,Almonds (Dry Roasted),Kirkland,$10.39,40 oz,$0.26/oz
47,Altoids (Peppermint),Altoids,$14.99,12 ct,$1.25/ct
49,Amarena Wild Cherries,Fabbri,$15.99,35.2 oz,$0.45/oz
51,Ancient Grains Granola (w/ Probiotics),Nature's Path Organic/Kirkland Signature,$7.99,35.3 oz,$0.23/oz
53,Andouille Sausage (Paleo),Amylu,$13.99,40 oz,$0.35/oz
55,Angus Cheeseburgers,Pierre Signatures,$15.99,(8 Pack) 6.2 oz,$0.32/oz
56,Angus Chuck Beef Patty (1/3 lb. patty),Kirkland Signature,$25.89,18 ct,$1.44/ct
58,Animal Crackers (Organic),Kirkland,$10.99,4 lb,$2.75/lb
60,Antibacterial Soap (Green Apple Scent),Kirkland Signature,$7.99,90 oz,$0.09/oz
62,Antibacterial Spray (Fabric Spray),Tide,$12.49,(3 Pack) 22 oz,$0.19/oz
64,Antibiotic-Free Grilled Chicken Patty,DonLee Farms,$14.99,12 ct,$1.25/ct
66,Antiperspirant (Advanced Clear gel),Gillette,$14.99,(5 Pack) 3.8 oz,$0.79/oz
67,Antiperspirant (Advanced Care),Dove,$9.99,(4 Pack) 2.6 oz,$0.96/oz
69,Apple Cider Vinegar (Organic (3/32 oz.)),Kirkland Signature,$8.99,96 oz,$0.09/oz
71,Apple Juice (Organic) [Organic],Mott's,$9.49,(2 Pack) 128 oz,$0.04/oz
73,Apple Sauce Pouch (Organic) [Organic],Kirkland Signature,$10.39,(24 Pack) 3.17 oz,$0.14/oz
87,Applesauce (Organic - Variety),Go Go Squeeze,$14.99,(28 Pack) 3.2 oz,$0.17/oz
88,Applesauce Cups (Organic) [Organic],Mott's,$15.99,(36 Pack) 3.9 oz,$0.11/oz
92,"Artichoke Hearts (Quarters & Halves, Marinated in Oil)",Kirkland Signature,$9.89,(2 Pack) 33 oz,$0.15/oz
93,Artisan Italian Dressing (Simply),Wishbone,$6.89,(2 Pack) 24 oz,$0.14/oz
99,Autumn Mix,Hershey's,$12.99,50.4 oz,$0.26/oz
103,Avocado Oil (100% Pure),Chosen Foods,$19.79,2 lt,$9.90/lt
104,Avocado Oil Spray,Chosen Foods,$5.99,(2 Pack) 4.7 oz,$0.64/oz
106,Baby Wipes (Fragrance Free),Kirkland Signature,$18.99,900 ct,$0.02/ct
108,Bacon (Naturally Hardwood Smoked),Oscar Mayer,$14.99,(3 Pack) 1 lb,$5.00/lb
110,Bacon (Antibotic Free),Maple Leaf Foods,$15.99,3 lb,$5.33/lb
111,Bacon (Low Sodium),Kirkland Signature,$16.79,(4 Pack) 1 lb,$4.20/lb
112,Bacon (Sliced Bacon),Kirkland Signature,$16.79,(4 Pack) 1 lb,$4.20/lb
113,Bacon (Fully Cooked),Kirkland Signature,$13.89,1 lb,$13.89/lb
115,Bacon Crumbles,Kirkland Signature,$8.79,20 oz,$0.44/oz
117,Bacon Wrapped Chicken (Mozzarella Parmesan & Fontina Cheese),The Real Good Food,$13.79,(6 Pack) 6 oz,$0.38/oz
118,Bagel Bites (Mozzarella Cheese),Ore-Ida,$8.99,72 ct,$0.12/ct
120,Baked Beans (Original),Bush's,$10.59,(8 Pack) 16.5 oz,$0.08/oz
126,Baking Soda,Arm & Hammer,$7.79,13.5 lb,$0.58/lb
128,Balsamic Glaze,Nonna Pia's,$6.99,12.85 oz,$0.54/oz
129,Balsamic Vinegar,Kirkland Signature,$10.99,33.8 oz,$0.33/oz
131,Banana Nut Loaf,Jessica's,$10.99,48 oz,$0.23/oz
135,Bar Soap (White Bar Soap),Dove,$15.99,(16 Pack) 3.75 oz,$0.27/oz
137,Bark Thins (Dark Chocolate Almond),Bark Thins,$9.89,20 oz,$0.49/oz
139,Barramundi Fillet (Farm raised previously frozen (sold per lb.)),The Better Fish,$9.99,1 lb,$9.99/lb
141,Basmati Rice,Royal,$19.99,20 lb,$1.00/lb
143,Bath Tissue (2-Ply (425 Sheets per Roll)),Kirkland Signature,$16.99,30 rl,$0.57/rl
145,Beef Chuck Pot Roast (Boneless USDA Choice (sold per lb.)),Kirkland Signature,$5.99,1 lb,$5.99/lb
146,Beef Chuck Short Ribs (Boneless USDA Choice (sold per lb.)),Kirkland Signature,$15.99,1 lb,$15.99/lb
148,Beef Dinner Franks (as served in the Costco Food Court),Kirkland Signature,$13.49,61 oz,$0.22/oz
150,Beef Flank Steak (USDA Choice (sold per lb.)),Kirkland Signature,$10.99,1 lb,$10.99/lb
152,Beef Franks,Hebrew National,$9.99,(4 Pack) 12 oz,$0.21/oz
154,Beef Inside Skirts (USDA Choice (sold per lb.)),Kirkland Signature,$12.99,1 lb,$12.99/lb
155,Beef Loin Flap Meat Steak (USDA Choice (sold per lb.)),Kirkland Signature,$9.79,1 lb,$9.79/lb
156,Beef Loin New York Steak (Boneless USDA Choice (sold per lb.)),Kirkland Signature,$8.99,1 lb,$8.99/lb
157,Beef Loin New York Steak (USDA PRIME - sold per lb.),Kirkland Signature,$19.99,1 lb,$19.99/lb
158,Beef Loin Tenderloin (Whole USDA Choice - sold per lb.),Kirkland Signature,$16.59,1 lb,$16.59/lb
159,Beef Loin Tenderloin (USDA Choice Peeled Extreme (sold by lb.)),Kirkland Signature,$24.99,1 lb,$24.99/lb
160,Beef Loin Tenderloin (Steak Filet Mignon (sold by lb.)),Kirkland Signature,$19.99,1 lb,$19.99/lb
161,Beef Loin Tenderloin Steak (USDA PRIME - sold per lb.),Kirkland Signature,$28.99,1 lb,$28.99/lb
162,Beef Loin Top Loin (Whole (New York) Vacuum Package (sold per lb.)),Kirkland Signature,$8.19,1 lb,$8.19/lb
163,Beef Loin Top Sirloin (Steak BNLS Cap Off Prime (sold by lb.)),Kirkland Signature,$10.99,1 lb,$10.99/lb
164,Beef Loin Top Sirloin (Cap Bnls Whole USDA Choice (sold per lb.)),Kirkland Signature,$5.99,1 lb,$5.99/lb
165,Beef Loin Top Sirloin (Boneless Cap Off USDA Choice Grade (sold per lb.)),Kirkland Signature,$7.29,1 lb,$7.29/lb
169,Beef Mandu (Beef Bulgogi),CJ Bibigo,$11.99,3 lb,$4.00/lb
171,Beef Pot Roast,Ruprecht's Company,$7.99,1 lb,$7.99/lb
173,Beef Ribeye Roast (sold per lb.),Kirkland Signature,$11.99,1 lb,$11.99/lb
174,Beef Ribeye Steak (Boneless USDA Choice),Kirkland Signature,$11.99,1 lb,$11.99/lb
175,Beef Ribeye Steak (Boneless USDA Prime - sold per lb.),Kirkland Signature,$15.99,1 lb,$15.99/lb
176,Beef Ribeye Whole (Boneless USDA Choice (sold per lb.)),Kirkland Signature,$11.89,1 lb,$11.89/lb
177,Beef Round Eye (Round Roast USDA Choice (sold per lb.)),Kirkland Signature,$5.69,1 lb,$5.69/lb
178,Beef Round Top Round (sold per lb.),Kirkland Signature,$5.99,1 lb,$5.99/lb
179,Beef Sausage (Organic (price per pound)) [Organic],Kiolbassa Provision,$8.99,1 lb,$8.99/lb
181,Beef Short Ribs (Braised Beef Shot Ribs with Sesame BBQ (sold per lb.)),Ruprecht's,$11.99,1 lb,$11.99/lb
182,Beef Snack Stick (Beef Snack Sticks),Greenridge Farms,$15.79,(3 Pack) 12 oz,$0.44/oz
184,Beef Stew Meat (sold per lb. - USDA Choice),Kirkland Signature,$4.99,1 lb,$4.99/lb
186,Beer Battered Cod,Trident Seafoods,$17.99,2.5 lb,$7.20/lb
188,Belvita Breakfast Biscuit (Cinnamon Brown Sugar),Nabisco,$14.39,(30 Pack) 1.76 oz,$0.27/oz
190,Belvita Breakfast Biscuit (Blueberry),Nabisco,$12.69,1 ea,$12.69/ea
192,Berry Blend (Organic Three Berries),Kirkland Signature,$14.99,4 lb,$3.75/lb
193,Berry Blend (Triple Berry Blend),Organic Townsend,$10.69,3 lb,$3.56/lb
195,Better Than Bouillon (Organic Chicken Base) [Organic],Better Than Bouillon,$5.99,16 oz,$0.37/oz
196,"Better Than Bouillon (Organic Vegetable Base) [Organic,Vegan]",Better Than Bouillon,$5.99,16 oz,$0.37/oz
197,Better Than Bouillon (Organic Beef Base) [Organic],Better Than Bouillon,$5.99,16 oz,$0.37/oz
199,Beyond Burger,Beyond Meat,$16.79,8 ct,$2.10/ct
201,Biscotti (Almond Dark Chocolate),Nonni's,$10.59,25 ct,$0.42/ct
202,Biscotti (Classic Biscotti *(may not be restocked)),La Dolce Vita,$11.49,1 ea,$11.49/ea
203,Biscotti (Italian Biscotti),Vero Amore,$9.99,1 ea,$9.99/ea
205,Black Bean Burgers (Organic),Don Lee Farms,$13.99,48 oz,$0.29/oz
206,Black Bean Burgers (Chipotle),Morningstar Farms,$14.79,(12 Pack) 4.23 oz,$0.29/oz
208,Black Bean Layer Dip,Rojo's,$9.69,(2 Pack) 20 oz,$0.24/oz
210,Black Bean Spaghetti (Organic ),Explore Cuisine,$6.97,2 lb,$3.49/lb
212,Black Beans,Goya,$7.29,(8 Pack) 15.5 oz,$0.06/oz
214,Black Forest Ham (price per lb.),Kirkland Signature,$5.29,1 lb,$5.29/lb
216,Black Pepper Grinder,Kirkland Signature,$6.49,12.6 oz,$0.52/oz
220,Blue Agave (Organic) [Organic],Kirkland Signature,$8.99,36 oz,$0.25/oz
222,Blueberries (Organic) [Organic],Kirkland,$8.59,3 lb,$2.86/lb
227,Blueberry Almond Crunch Cereal (Organic) [Organic],Cascandian Farm,$14.59,34 oz,$0.43/oz
229,Blueberry Jam (Organic) [Organic],Stonewall Kitchen,$9.99,30 oz,$0.33/oz
231,Body Wash (Deep Moisture),Dove,$14.99,(3 Pack) 24 oz,$0.21/oz
233,Boneless Pork Shoulder (Vacuum Packaged - sold per lb.),Kirkland Signature,$2.49,1 lb,$2.49/lb
235,Bourbon Barrel Aged Syrup (Organic Maple Syrup),Wild4 Maple,$15.99,25.4 oz,$0.63/oz
237,Boursin Cheese (Variety Pack),Boursin,$8.99,(3 Pack) 5.2 oz,$0.58/oz
239,Bread (Classic White),Wonder,$4.19,(2 Pack) 20 oz,$0.10/oz
240,Bread (Omega Me Crazy - 21 Whole Grain Bread),Old Tyme,$6.49,(2 Pack) 24 oz,$0.14/oz
241,Bread (Healthy 8 Grain),Innkeepers,$3.99,36 oz,$0.11/oz
