"Product, Brand, and Size",Price per Unit,Price,Calories,Fat,,,Cholestrol,Sodium,Carbs,,,Protein,Vitamin D,Calcium,Iron,Potassium
,,,,Total,Saturated,Trans,,,Total,Dietary,Sugar,,,,,
4505 Meats Chicharrones En Fuego Gf - 2.5 OZ,($1.40 / Ounce),3.5,80,5.00g,2.00g,0.00g,15.00mg,95.00mg,0.00g,0.00g,0.00g,8.00g,0.00mcg,0.00mg,0.00mg,0.00mg
80% Lean Beef Patties Seasoned - 1 Lb,($5.99 / Lb),5.99,380,30.00g,11.00g,0.00g,105.00mg,100.00mg,0.00g,0.00g,0.00g,26.00g,0.00mcg,26.00mg,2.70mg,0.00mg
80% Lean Beef Sliders Seasoned - 1 Lb,($5.99 / Lb),5.99,293,15.00g,4.70g,0.40g,69.00mg,326.00mg,20.00g,1.60g,3.20g,19.00g,0.00mcg,40.00mg,2.90mg,296.80mg
80% Lean Ground Beef Chili 20% Fat - 1 Lb,($3.49 / Lb),1.745,65.2,2.40g,1.30g,0.10g,25.20mg,24.70mg,0.00g,0.00g,0.00g,8.10g,0.00mcg,4.50mg,0.90mg,122.70mg
A.1. Bold & Spicy Sauce with Tabasco Bottle - 10 Oz,($0.70 / Ounce),7,15,0.00g,0.00g,0.00g,0.00mg,75.00mg,3.00g,0.00g,3.00g,0.00g,0.00mcg,0.00mg,0.00mg,0.00mg
A.1. Thick & Hearty Sauce Bottle - 10 Oz,($0.70 / Ounce),7,25,0.00g,0.00g,0.00g,0.00mg,300.00mg,6.00g,0.00g,10.00g,0.00g,0.00mcg,0.00mg,0.00mg,0.00mg
a2 Milk 2% Reduced Fat Milk - 1 cup,($0.08 / Fl.oz),0,122,4.90g,3.10g,0.20g,19.50mg,114.50mg,11.60g,0.00g,12.50g,8.00g,3.00mcg,293.00mg,0.10mg,341.60mg
a2 Milk Whole Milk - Half Gallon,($0.08 / Fl.oz),0,150,8.00g,5.00g,0.00g,30.00mg,120.00mg,11.00g,0.00g,11.00g,8.00g,5.50mcg,300.00mg,0.00mg,372.00mg
Adaptable Pork Ribeye Chop Boneless Smoked Mesquite - 4 OZ,($0.31 / Ounce),4.96,140,4.00g,1.50g,0.00g,65.00mg,300.00mg,3.00g,0.00g,1.00g,23.00g,0%,2%,6%,0%
Ahi Tuna Saku Block - 1 Lb,($18.49 / Lb),18.49,155,1.50g,0.00g,0.00g,75.00mg,55.00mg,0.00g,0.00g,0.00g,35.00g,12.00mcg,5.00mg,2.00mg,750.00mg
Aidells Chicken Meatballs Caramelized Onion - 12 Oz,($0.58 / Ounce),6.96,130,9.00g,2.50g,0.00g,55.00mg,480.00mg,3.00g,0.00g,2.00g,10.00g,0%,4%,4%,0%
Aidells Chicken Meatballs Teriyaki & Pineapple - 12 Oz,($0.58 / Ounce),6.96,140,7.00g,2.00g,0.00g,50.00mg,530.00mg,89.00g,0.00g,12.00g,12.00g,0.00mcg,10.00mg,0.60mg,690.00mg
Aidells Smoked Chicken Sausage Links Mango 4 Count - 12 Oz,($0.58 / Ounce),6.96,190,13.00g,4.00g,0.00g,90.00mg,700.00mg,4.00g,0.50g,4.00g,14.00g,0%,10%,6%,0%
Al Dente Pasta Artisanal Fettuccine Noodles Egg - 12 Oz,($0.71 / Ounce),8.52,200,1.00g,0.00g,0.00g,10.00mg,0.00mg,39.00g,2.00g,1.00g,8.00g,0.00mcg,10.00mg,0.70mg,120.00mg
Alaskan Snow Crab Surimi Meal Deal - 1 Lb,($6.99 / Lb),6.99,70,1.00g,0.00g,0.00g,10.00mg,610.00mg,9.00g,3.00g,3.00g,8.00g,0.00mcg,0.00mg,0.00mg,20.00mg
Aleias Stuffing Mix Savory Box - 10 Oz,($0.70 / Ounce),7,70,1.00g,0.00g,0.00g,5.00mg,220.00mg,14.00g,1.00g,1.00g,1.00g,0%,0.80%,1.10%,1%
Almond Breeze Chocolate Almond Milk - 64 Oz,($0.08 / Fl.oz),5.12,40,3.00g,0.00g,0.00g,0.00mg,170.00mg,2.00g,0.50g,0.00g,1.00g,0%,45%,6%,6%
Almond Breeze Hint of Honey Vanilla Almond Milk - 64 Oz,($0.08 / Fl.oz),5.12,60,2.50g,0.00g,0.00g,0.00mg,150.00mg,9.00g,0.50g,14.00g,1.00g,5.00mcg,450.00mg,0.70mg,170.00mg
