,Product,Price,Size,Price per Unit,Serving size,Calories,Total Fat,Total Fat(g),Saturated fat,Saturated Fat(g),Trans Fat(g),Cholesterol,Cholesterol(mg),Sodium,Sodium(mg),Total Carbohydrates,Total Carbohydrates(g),Dietery Fiber,Dietery Fiber(g),Sugars(g),Protein(g),Vitamin A,Vitamin C,Calcium,Calcium(mg),Iron,Iron(mg),Potassium,Potassium(mg)
1,10 Minute Farro,$1.79 ,8.8 oz,$0.20/oz,0.3 cup dry,170,2%,1,0%,0,0,0%,0,0%,0,11%,34,8%,2,0,5,0%,0%,1%,0,11%,0,5%,170
2,21 Seasoning Salute,$1.99 ,2.2 oz,$0.90/oz,0.3 tsp ,0,0%,0,0,0,0,0,0,0%,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Organic 3 Grain Tempeh,$2.29 ,8 oz,$0.29/oz,3 oz,190,12%,8,5%,1,0,0%,0,0%,0,4%,11,40%,10,0,19,0%,0%,6%,0,10%,0,7%,260
4,4 Cheese Ravioli,$2.99 ,10 oz,$0.30/oz,1 cup,250,13%,10,18%,3.5,0,18%,55,27%,620,11%,31,4%,1,5,9,0,0,6%,78,4%,1,6%,282
5,A Dozen Sweet Bites,$5.99 ,9.16 oz,$0.65/oz,1 piece,60,6%,4,10%,2,0,3%,10,0%,10,2%,6,2%,0.5,5,1,4%,0%,2%,0,2%,0,0,0
6,ABC Bars,$3.49 ,7.4 oz,$0.47/oz,1 Bar,160,10%,8,5%,1,0,0%,0,4%,95,7%,19,7%,2,6,4,0,0,3%,40,6%,1,3%,130
7,Acai Bowl,$3.99 ,10 oz,$0.40/oz,1 Bowl,260,13%,10,23%,4.5,0,0%,0,1%,20,16%,44,32%,9,18,4,0,0,4%,50,10%,2,10%,450
8,Acai Puree Packets,$4.49 ,4 pk,$1.12/pk,1 Packets,80,8%,6,8%,1.5,0,0%,0,1%,20,2%,5,14%,4,0,2,0,0,4%,50,4%,1,4%,180
9,Ahi Tuna Steaks,$7.99 ,1 lb,$7.99/lb,4 oz,120,1%,0.5,0%,0,0,15%,45,2%,50,0%,0,0%,0,0,28,0,0,0%,0,4%,1,10%,470
10,Aioli Garlic Mustard Sauce,$2.49 ,9 oz,$0.28/oz,1 tsp,15,1%,1,0%,0,0,0%,0,2%,50,0%,0,0%,0,0,0,0,0,0%,0,0%,0,0%,7
11,Ajika Georgian Seasoning Blend,$1.99 ,2.1 oz,$0.95/oz,0.3 tsp ,0,0%,0,0,0,0,0,0,0%,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Ak-Mak Crackers,$1.99 ,4.15 oz,$0.48/oz,1 Crackers,116,3%,2.27,2%,0;48,0,0%,0,9%,214,6%,19,14%,3.5,2,5,0%,0%,0%,0,6%,0,0,0
13,Alfredo Pasta Sauce,$3.29 ,16.9 oz,$0.19/oz,0.25 cup,80,8%,6,20%,4,0,0%,35,12%,280,1%,3,0%,0,1,2,0,0,6%,78,0%,0,0%,0
14,All Natural Bone-In Skin On Chicken Thighs,$1.99 ,1 lb,$1.99/lb,4 oz,250,24%,19,25%,5,0,37%,110,4%,90,0%,0,0%,0,0,19,0,0,0%,10,4%,1,4%,230
15,"All Purpose Flour [Organic, Unbleached]",$3.99 ,5 lb,$0.80/lb,0.25 cup,110,0%,0,0%,0,0,0%,0,0%,0,8%,23,3%,1,0,3,0,0,0%,0,2%,0,0%,30
